term,coef
good,4.742350259855958
great,4.659689877764251
delicious,4.58271893850588
love,4.119680672769306
bit,3.5716244289403414
excellent,3.4300573155702243
perfect,3.2821262561491564
friendly,3.254212733104931
amazing,3.0449421069230307
enjoyed,2.969684893627501
tasty,2.9618844530322606
easy,2.7490224958802827
spot,2.6280933037106546
lot,2.627243884358006
fresh,2.590145295129857
nice,2.481827181354842
definitely,2.373134950098766
able,2.352879453374865
park,2.2406862168103205
wife,2.2328727649408795
fun,2.2083401751190816
little,2.197083468274982
small,2.193536749736683
awesome,2.145312476078133
solid,2.1438722934871106
chocolate,2.049461056851835
area,2.006873564027803
like,1.9914037487108411
fantastic,1.918719127750859
gorgeous,1.8913659313373103
